Age, Yrs AD;YOK-I d13C (permil VPDB)
1605.29;-7.87
1604.86;-8.08
1604.41;-7.98
1603.97;-7.99
1603.52;-7.88
1602.52;-7.99
1601.96;-7.88
1601.37;-7.94
1600.77;-8.06
1600.16;-8.03
1599.57;-8.08
1598.99;-8.15
1598.44;-8.08
1597.94;-8.11
1597.48;-8.17
1597.06;-8.15
1596.65;-8.16
1596.25;-8.27
1595.85;-8.18
1595.46;-8.08
1595.08;-8.04
1594.70;-8.03
1594.33;-7.94
1593.96;-7.98
1593.60;-7.97
1593.25;-8.02
1592.90;-8.09
1591.56;-7.92
1591.23;-8.01
1590.91;-8.31
1590.60;-7.66
1590.29;-7.81
1589.98;-7.81
1589.68;-8.08
1589.38;-8.08
1589.08;-7.94
1588.79;-7.95
1588.50;-7.97
1588.21;-8.05
1587.92;-7.98
1587.64;-8.03
1587.36;-7.87
1587.08;-7.67
1586.80;-7.69
1586.53;-8.07
1586.25;-7.92
1585.98;-7.82
1585.71;-7.77
1585.44;-8.27
1585.17;-8.11
1584.90;-8.05
1584.36;-8.2
1584.09;-8.18
1583.82;-8.13
1583.56;-8.07
1583.29;-8.36
1583.02;-8.33
1582.74;-8.13
1582.47;-8.03
1582.20;-8.13
1581.92;-8.07
1581.65;-8.04
1581.37;-7.94
1581.09;-8.15
1580.80;-7.95
1580.52;-7.98
1580.23;-7.92
1579.94;-7.94
1579.65;-7.97
1579.35;-7.99
1579.05;-8.26
1578.75;-8.14
1578.44;-8
1578.13;-8.11
1577.82;-8.27
1577.50;-7.9
1577.17;-8.29
1576.85;-8.12
1576.51;-8.17
1576.18;-8.29
1575.83;-8.11
1575.49;-8.17
1575.13;-8.2
1574.77;-8.18
1574.41;-8.14
1574.04;-8.34
1573.66;-8.06
1572.89;-8.16
1572.49;-8.44
1572.08;-7.95
1571.63;-7.92
1571.16;-7.87
1570.66;-7.96
1570.14;-8.11
1569.60;-7.92
1569.05;-8
1568.49;-8.08
1567.91;-8.16
1567.33;-8.37
1566.75;-8.05
1566.16;-8.07
1565.58;-8.17
1565.00;-7.96
1564.43;-8.15
1563.87;-8.31
1563.33;-8.14
1562.80;-8.13
1562.29;-8.29
1561.80;-8.49
1561.34;-8.16
1560.91;-8.19
1560.51;-8.23
1560.14;-8.41
1559.81;-8.34
1559.53;-8.39
1559.26;-8.17
1559.01;-8.47
1558.77;-8.09
1558.54;-8.04
1558.32;-7.89
1558.10;-7.9
1557.89;-7.76
1557.69;-7.64
1557.50;-7.63
1557.31;-7.67
1557.13;-7.42
1556.95;-7.42
1556.78;-7.41
1556.61;-7.39
1556.44;-7.29
1556.28;-7.27
1556.12;-7.25
1555.96;-7.24
1555.80;-7.48
1555.64;-7.31
1555.48;-7.25
1555.32;-7.27
1555.16;-7.39
1555.00;-7.35
1554.83;-7
1554.66;-6.9
1554.49;-6.84
1554.32;-6.68
1554.13;-6.68
1553.95;-6.76
1553.76;-7.1
1553.56;-7.17
1553.35;-7.38
1553.14;-7.36
1552.92;-7.21
1552.69;-7.13
1552.45;-7.15
1552.21;-7.16
1551.96;-7.4
1551.71;-7.41
1551.46;-7.54
1551.20;-7.55
1550.94;-7.55
1550.67;-7.65
1550.40;-7.69
1550.12;-7.74
1549.84;-7.66
1549.56;-7.49
1549.27;-7.67
1548.97;-7.81
1548.68;-7.41
1548.38;-7.32
1548.07;-7.3
1547.76;-7.74
1547.45;-7.59
1547.13;-7.69
1546.81;-8.02
1546.49;-7.6
1546.16;-7.69
1545.83;-7.64
1545.49;-7.73
1545.15;-7.94
1544.81;-8.03
1544.47;-8.07
1544.12;-8.31
1543.76;-8.37
1543.40;-8.24
1543.04;-8.4
1542.68;-8.35
1542.31;-8.1
1541.94;-8.22
1541.57;-8.32
1541.19;-8.21
1540.81;-8.3
1540.43;-8.37
1540.04;-8.35
1539.65;-8.41
1539.26;-8.41
1538.87;-8.36
1538.47;-8.39
1538.07;-8.39
1537.66;-8.47
1537.25;-8.35
1536.84;-8.42
1536.43;-8.39
1536.01;-8.39
1535.60;-8.3
1535.17;-8.13
1534.75;-8.14
1534.32;-8.32
1533.90;-8.05
1533.46;-8.12
1533.03;-8.21
1532.59;-8.16
1532.15;-8.27
1531.71;-8.14
1531.27;-8.16
1530.82;-8.19
1530.38;-8.24
1529.92;-8.37
1529.47;-8.38
1529.02;-8.37
1528.56;-8.29
1528.10;-8.3
1527.64;-8.42
1527.18;-8.43
1526.71;-8.44
1526.24;-8.41
1525.78;-8.35
1525.30;-8.36
1524.83;-8.44
1524.36;-8.41
1523.88;-8.44
1523.40;-8.47
1522.92;-8.36
1522.44;-8.39
1521.96;-8.4
1521.47;-8.34
1520.99;-8.36
1520.50;-8.2
1520.01;-7.88
1519.52;-7.89
1519.03;-7.91
1518.54;-7.88
1518.04;-7.69
1517.55;-7.7
1517.05;-7.53
1516.55;-7.68
1516.05;-7.67
1515.55;-7.68
1515.05;-7.58
1514.55;-7.55
1514.04;-7.43
1513.54;-7.4
1513.03;-7.57
1512.53;-7.61
1512.02;-7.53
1511.51;-7.48
1511.00;-7.3
1510.49;-7.38
1509.98;-7.51
1509.47;-7.56
1508.96;-7.67
1508.45;-7.61
1507.93;-7.6
1507.42;-7.62
1506.91;-7.68
1506.39;-7.69
1505.88;-7.65
1505.36;-7.7
1504.85;-7.66
1504.33;-7.64
1503.82;-7.64
1503.30;-7.55
1502.78;-7.59
1502.27;-7.57
1501.75;-7.45
1501.23;-7.44
1500.72;-7.4
1500.20;-7.31
1499.68;-7.36
1499.16;-7.3
1498.65;-7.37
1498.13;-7.37
1497.61;-7.41
1497.10;-7.41
1496.58;-7.48
1496.07;-7.46
1495.55;-7.54
1495.04;-7.33
1494.52;-7.44
1494.01;-7.51
1493.49;-7.48
1492.98;-7.47
1492.47;-7.44
1491.96;-7.38
1491.44;-7.35
1490.93;-7.34
1490.42;-7.34
1489.91;-7.27
1489.40;-7.09
1488.90;-7.15
1488.39;-6.97
1487.88;-7.07
1487.38;-7.15
1486.87;-7.14
1486.37;-7.29
1485.87;-7.4
1485.37;-7.31
1484.87;-7.29
1484.37;-6.52
1483.87;-5.73
1483.36;-5.7
1482.84;-5.96
1482.32;-6.5
1481.79;-6.81
1481.25;-6.95
1480.71;-7.11
1480.16;-7.45
1479.61;-7.67
1479.05;-7.68
1478.49;-7.79
1477.91;-7.8
1477.34;-7.74
1476.76;-7.79
1476.17;-7.94
1475.58;-7.91
1474.99;-8.01
1474.39;-7.97
1473.78;-7.88
1473.17;-7.88
1472.56;-7.9
1471.95;-7.66
1471.33;-7.66
1470.70;-7.52
1469.45;-7.73
1468.18;-7.6
1467.55;-7.58
1466.91;-7.61
1466.27;-7.56
1465.62;-7.38
1464.98;-7.41
1464.33;-7.41
1463.68;-7.44
1463.03;-7.52
1462.38;-7.45
1461.73;-7.38
1461.08;-7.57
1460.42;-7.56
1459.77;-8.18
1459.12;-7.81
1458.46;-7.57
1457.81;-7.72
1457.15;-7.53
1456.50;-7.69
1455.85;-7.39
1455.19;-7.36
1454.54;-7.47
1453.89;-7.63
1453.24;-7.6
1452.60;-7.45
1451.95;-7.72
1451.30;-7.77
1450.66;-7.85
1450.02;-7.65
1449.38;-8
1448.75;-7.69
1448.11;-7.92
1447.48;-7.95
1446.85;-7.78
1446.23;-8.02
1445.61;-7.94
1444.99;-7.77
1444.38;-8.19
1443.76;-8.11
1443.16;-8.25
1442.56;-7.94
1441.96;-8.35
1441.36;-7.88
1440.77;-7.62
1440.19;-7.88
1439.61;-7.83
1439.04;-8.05
1438.47;-7.73
1437.90;-8.06
1437.34;-7.82
1436.79;-8.33
1436.25;-8.09
1435.71;-7.8
1435.17;-7.88
1434.64;-7.88
1434.12;-7.96
1433.61;-8.03
1433.10;-7.97
1432.60;-7.92
1432.11;-8.02
1431.63;-7.96
1431.15;-7.96
1430.68;-8.08
1430.22;-8.14
1429.77;-8.07
1429.32;-8.06
1428.88;-8.12
1428.46;-8.1
1428.04;-8.11
1427.63;-8.23
1427.23;-8.13
1426.84;-7.92
1426.46;-8
1426.08;-8.03
1425.72;-8.13
1425.37;-8.18
1425.03;-8.29
1424.70;-8.35
1424.37;-8.32
1424.05;-8.4
1423.73;-8.32
1423.42;-8.3
1423.12;-8.36
1422.82;-8.21
1422.53;-8.21
1422.25;-8.08
1421.96;-8.09
1421.69;-7.96
1421.41;-7.84
1421.15;-7.95
1420.88;-7.85
1420.62;-7.83
1420.37;-7.87
1420.12;-7.95
1419.87;-8.1
1419.62;-8.12
1419.38;-8.2
1419.14;-8.26
1418.91;-8.21
1418.68;-8.2
1418.45;-8.19
1418.22;-8.18
1418.00;-8.33
1417.77;-8.34
1417.55;-8.38
1417.34;-8.32
1417.12;-8.28
1416.90;-8.34
1416.69;-8.35
1416.47;-8.27
1416.26;-8.53
